COD_COMUNA,COD_ZonLoc,Clave,Nombre,Tipo,COD_REGION,REGION,COD_PROVIN,PROVINCIA,NOMBRE_COM,PobTotH,PobTotM,Pob_0_5,Pob_6_10,Pob_11_15,Pob_16_20,Pob_21_25,Pob_26_30,Pob_31_35,Pob_36_40,Pob_41_45,Pob_46_50,Pob_51_55,Pob_56_60,Pob_61_65,Pob_66_70,Pob_71_75,Pob_76_80,Pob_81_85,Pob_86_90,Pob_mayor_,Emig_10_17,Emig_00_09,Emig_90_99,Emig_ant90,AsisEdu_SI,AsisEdu_NO,AsisEdu_Nu,Curso_0,Curso_1,Curso_2,Curso_3,Curso_4,Curso_5,Curso_6,Curso_7,Curso_8,PobIndigen,ind_Mapuch,ind_Aymara,ind_RapaNu,ind_LicanA,ind_Quechu,ind_Colla,ind_Diagui,ind_Kawesq,ind_Yagan_,ind_Otros,indG_Mapuc,indG_Aymar,indG_RapaN,indG_Lican,indG_Quech,indG_Colla,indG_Diagu,indG_Kawes,indG_Yagan,indG_Otros,ind_o_Lafq,ind_o_Pehu,ind_o_Huil,ind_o_Picu,ind_o_Chan,ind_o_Chon,ind_o_Ona,ind_o_Tehu,ind_o_AL,ind_o_Mund,ind_o_Afro,ind_o_Otro,ind_o_NoDe,Trabajo_1,Trabajo_2,Trabajo_3,Trabajo_4,Trabajo_5,Trabajo_6,Trabajo_7,Trabajo_8
3202,3202042901,3202042901,SIERRA PUEBLO HUNDIDO,Zona,3,REGIÓN DE ATACAMA,32,CHAÑARAL,DIEGO DE ALMAGRO,7486,6439,1240,1125,1142,791,842,1095,1189,1085,1115,1004,989,815,598,342,232,159,93,52,17,245,53,11,12,4082,9183,452,1079,968,1605,1366,4874,1087,790,369,1041,1789,428,116,1,15,24,647,497,3,0,58,429,116,1,15,24,647,497,3,0,57,0,0,1,0,9,0,4,0,8,0,0,0,36,5846,19,412,620,865,1942,642,186
3301,3301152901,3301152901,SARGENTO ALDEA 1,Zona,3,REGIÓN DE ATACAMA,33,HUASCO,VALLENAR,25031,26165,4685,4036,3786,3176,3525,3943,3562,3130,3223,3438,3519,2879,2459,1836,1550,1092,776,379,202,776,100,30,35,14808,32257,2708,3807,3639,5532,4946,16248,4160,3000,1402,3986,12202,828,284,3,74,87,318,10285,6,0,317,830,284,3,74,87,318,10285,6,0,315,0,1,1,0,28,0,3,0,14,50,22,0,198,19155,462,1101,2564,2810,5989,4387,1784
3302,3302122023,3302122023,SAN FÉLIX,Localidad,3,REGIÓN DE ATACAMA,33,HUASCO,ALTO DEL CARMEN,2914,2367,407,355,320,229,316,385,377,343,360,381,382,332,285,232,226,156,106,51,38,64,11,4,5,1323,3377,395,319,270,524,424,1717,311,375,140,543,2719,78,19,2,13,6,14,2546,1,0,40,78,19,2,13,6,14,2546,1,0,40,0,0,0,0,4,0,0,0,0,0,0,0,36,1888,139,149,256,168,717,561,211
3303,3303042003,3303042003,VICUÑA MACKENNA,Zona,3,REGIÓN DE ATACAMA,33,HUASCO,FREIRINA,3509,3484,682,561,478,397,479,520,459,398,415,488,534,424,331,268,215,157,89,60,38,32,4,2,4,1949,4447,478,560,466,773,625,2108,394,434,204,733,1098,130,58,2,5,4,40,755,0,1,103,130,58,2,5,4,40,755,0,1,103,0,0,0,0,76,0,0,0,2,0,1,1,23,2616,56,163,287,367,964,620,197
3304,3304022901,3304022901,VIZNAGAS,Zona,3,REGIÓN DE ATACAMA,33,HUASCO,HUASCO,5112,4795,926,735,687,508,636,817,725,627,575,641,718,655,570,364,276,211,134,70,32,154,16,11,7,2750,6498,394,830,648,1083,925,3256,713,608,251,816,1498,324,112,2,10,11,71,813,0,2,153,325,112,2,10,11,71,813,0,2,152,1,0,0,0,71,4,0,0,3,9,1,0,64,3997,89,242,419,464,1094,834,305
4101,4101172030,4101172030,VEGAS NORTE,Zona,4,REGIÓN DE COQUIMBO,41,ELQUI,LA SERENA,103997,113389,18513,15800,15077,18296,19069,17325,14823,13844,14365,13679,13468,11622,9535,7279,5789,3882,2728,1538,754,3479,911,494,436,72235,132224,8077,15240,15876,27110,22476,66637,22495,13505,5369,13329,18604,6641,1961,53,411,265,738,7296,40,19,1180,6706,1961,53,411,265,738,7296,40,19,1115,1,18,43,3,194,5,8,1,103,45,81,5,673,81030,1556,4155,8616,23495,22253,17465,8316
4102,4102182004,4102182004,TOTORALILLO,Zona,4,REGIÓN DE COQUIMBO,41,ELQUI,COQUIMBO,106660,114654,20563,16769,15520,16829,17878,17796,15678,14441,14501,14090,13692,11952,9930,7356,5847,3770,2509,1529,664,3475,793,408,325,70478,136112,9335,16092,16717,26808,21970,69871,19624,12347,5696,14650,17763,7510,1618,47,304,296,629,6021,28,33,1277,7570,1618,47,304,296,629,6021,28,33,1217,0,8,51,1,393,1,7,1,112,49,64,6,584,84720,1526,4461,8611,20207,23716,17319,6633
4103,4103042006,4103042006,TABLA LA LUME,Zona,4,REGIÓN DE COQUIMBO,41,ELQUI,ANDACOLLO,5510,5515,968,846,785,725,742,794,673,602,724,778,791,656,536,438,374,285,176,89,43,20,17,2,8,3080,7227,616,777,749,1210,989,3708,657,847,342,995,692,257,89,3,9,18,19,259,2,6,30,257,89,3,9,18,19,259,2,6,30,0,0,0,0,1,0,0,0,0,1,0,0,28,3737,54,153,532,786,1701,1158,348
4104,4104092012,4104092012,YERBAS BUENAS,Zona,4,REGIÓN DE COQUIMBO,41,ELQUI,LA HIGUERA,2214,1985,383,347,279,243,274,251,243,268,293,285,310,282,235,176,145,91,57,28,9,32,10,6,4,1080,2669,347,306,282,417,348,1074,249,315,159,538,488,184,41,0,3,4,10,169,1,0,76,185,41,0,3,4,10,169,1,0,75,0,0,1,0,56,0,0,0,0,0,0,0,19,1601,57,82,157,205,606,329,136
4105,4105082007,4105082007,QUEBRADA DE PINTO,Localidad,4,REGIÓN DE COQUIMBO,41,ELQUI,PAIGUANO,2238,2255,322,310,278,231,266,375,295,257,320,338,354,297,243,174,163,113,81,54,22,39,15,11,19,1071,3135,150,272,300,461,402,1405,303,384,134,571,363,135,19,6,13,2,6,166,0,0,16,136,19,6,13,2,6,166,0,0,15,0,0,1,0,2,0,0,0,0,0,0,0,13,1896,77,153,172,218,493,454,117
